City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,ojinaga,29.5667,-104.4167,77.57600000000009,33,0,0.0,MX,1706648177
370,idri,27.5,13.2667,49.891999999999996,45,0,4.85,LY,1706648178
371,coquimbo,-29.9533,-71.3436,67.73000000000005,77,75,4.63,CL,1706648178
372,porto de moz,-1.7483,-52.2383,82.04000000000002,76,89,0.49,BR,1706648178
373,xilin hot,43.9667,116.0333,-23.475999999999935,100,36,0.57,CN,1706648178
374,calvi,42.5,8.8333,36.23000000000004,87,40,2.57,FR,1706648178
375,bakchar,57.0186,82.0711,5.9180000000000845,95,100,2.79,RU,1706648178
376,dzhankoy,45.7167,34.4,32.19800000000002,80,10,2.24,UA,1706648174
377,palmer,42.1584,-72.3287,33.47600000000009,75,100,3.09,US,1706648168
378,griffith,41.5284,-87.4237,41.95400000000005,85,100,5.14,US,1706648179
379,mitsamiouli,-11.3847,43.2844,79.17800000000007,72,100,1.13,KM,1706648179
380,juhaynah,26.6732,31.4976,50.32400000000001,42,0,3.21,EG,1706648179
381,montefiascone,42.5393,12.0362,43.483999999999995,87,19,0.31,IT,1706648179
382,vila velha,-20.3297,-40.2925,85.94600000000005,86,20,3.13,BR,1706648053
383,esperantinopolis,-4.8667,-44.7083,80.58200000000002,83,69,1.94,BR,1706648179
384,voghera,44.9947,9.0086,42.54800000000002,74,100,1.0,IT,1706648179
385,chonchi,-42.6128,-73.8092,75.34400000000008,48,37,2.65,CL,1706647991
386,atamyrat,37.8357,65.2106,39.398000000000025,64,33,3.9,TM,1706648180
387,razole,16.4833,81.8333,64.43600000000006,87,8,1.21,IN,1706648180
388,queenstown,-31.8976,26.8753,68.63000000000005,88,100,1.49,ZA,1706648180
389,lompoc,34.6391,-120.4579,74.69600000000005,51,0,0.89,US,1706647988
390,yreka,41.7354,-122.6345,64.58000000000004,45,0,13.38,US,1706648096
391,lorengau,-2.0226,147.2712,82.11200000000005,81,100,4.43,PG,1706648180
392,gadzhiyevo,69.2551,33.3362,37.49000000000002,77,92,13.64,RU,1706648180
393,daru,-9.0763,143.2092,78.29600000000005,91,100,3.72,PG,1706648180
394,zhanaozen,43.3,52.8,24.260000000000083,56,100,4.04,KZ,1706648181
395,elamanchili,17.55,82.8667,66.092,82,15,0.88,IN,1706648181
396,santiago de cao,-7.9589,-79.2392,78.9260000000001,73,0,4.63,PE,1706648181
397,santa elena de uairen,4.6167,-61.1333,81.68000000000004,45,97,2.13,VE,1706648182
398,shache,38.4167,77.2406,28.922000000000036,51,100,1.25,CN,1706648182
399,susuman,62.7833,148.1667,-37.20999999999998,100,95,0.41,RU,1706648182
400,kruisfontein,-34.0033,24.7314,68.88200000000002,84,100,3.93,ZA,1706648182
401,veraval,20.9,70.3667,70.61000000000008,83,100,5.19,IN,1706648183
402,angus,44.3168,-79.8829,34.43000000000004,59,100,4.12,CA,1706648058
403,cochirleanca,45.2167,27.0333,31.208000000000006,72,0,2.42,RO,1706648183
404,jaciara,-15.9653,-54.9683,85.15400000000005,49,100,1.74,BR,1706648183
405,ketchikan,55.3422,-131.6461,48.66800000000009,87,75,6.69,US,1706648183
406,paraty,-23.2178,-44.7131,78.11600000000001,89,98,0.73,BR,1706648183
407,souillac,-20.5167,57.5167,79.17800000000007,83,40,1.54,MU,1706648183
408,ola,59.5833,151.2833,-15.86199999999996,89,24,3.53,RU,1706648183
409,bangassou,4.7413,22.8184,74.642,40,98,0.58,CF,1706648183
410,haiku-pauwela,20.9219,-156.3051,79.16000000000008,84,75,5.14,US,1706648184
411,jamestown,42.097,-79.2353,36.55400000000005,93,100,4.12,US,1706647967
